"year","lea_code","lea_name","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,0,"CHARTER SECTOR LEA","Economy","grade 10","math","full_year",1290,1272,671,180,421,606,65
2014,0,"CHARTER SECTOR LEA","Economy","grade 10","read","full_year",1290,1275,596,161,518,503,93
2014,0,"CHARTER SECTOR LEA","Economy","grade 6","math","full_year",1681,1644,852,234,558,606,246
2014,0,"CHARTER SECTOR LEA","Economy","grade 6","read","full_year",1681,1639,697,237,705,650,47
2014,0,"CHARTER SECTOR LEA","Economy","grade 8","math","full_year",1506,1436,1012,95,329,741,271
2014,0,"CHARTER SECTOR LEA","Economy","grade 8","read","full_year",1506,1435,795,99,541,707,88
2014,0,"CHARTER SECTOR LEA","Economy","grade 3","math","full_year",1658,1650,702,228,720,558,144
2014,0,"CHARTER SECTOR LEA","Economy","grade 3","read","full_year",1658,1639,670,313,656,637,33
2014,0,"CHARTER SECTOR LEA","Economy","grade 5","math","full_year",1311,1309,708,133,468,524,184
2014,0,"CHARTER SECTOR LEA","Economy","grade 5","read","full_year",1311,1307,705,103,499,655,50
2014,0,"CHARTER SECTOR LEA","Direct Cert","all","math","full_year",5907,5717,2984,785,1948,2339,645
2014,0,"CHARTER SECTOR LEA","Direct Cert","all","read","full_year",5907,5697,2536,765,2396,2288,248
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 7","math","full_year",989,921,519,113,289,417,102
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 7","read","full_year",989,915,457,63,395,378,79
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 8","math","full_year",818,754,505,56,193,391,114
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 8","read","full_year",818,754,373,65,316,335,38
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 4","math","full_year",795,791,442,128,221,328,114
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 4","read","full_year",795,789,351,117,321,319,32
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 10","math","full_year",730,718,373,108,237,332,41
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 10","read","full_year",730,719,333,97,289,280,53
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 3","math","full_year",922,917,340,151,426,269,71
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 3","read","full_year",922,907,313,205,389,303,10
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 6","math","full_year",932,897,426,152,319,322,104
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 6","read","full_year",932,894,341,154,399,327,14
