"year","lea_code","lea_name","subgroup","subject","grade","enrollment_status","n_test_takers","baseline","target"
2014,125,"Perry Street Prep PCS","BL7","Math","all","full_year",330,0.410714285714286,0.558035714285714
2014,133,"Maya Angelou PCS","BL7","Math","all","full_year",178,0.333333333333333,0.5
2014,144,"Elsie Whitlow Stokes Community Freedom PCS","ECONOMY","Math","all","full_year",125,0.650684931506849,0.738013698630137
2014,160,"Washington Yu Ying PCS","ECONOMY","Math","all","full_year",28,0.539957482918144,0.61663123576512
2014,165,"Inspired Teaching Demonstration PCS","BL7","Math","all","full_year",35,0.519982721195713,0.599985600996427
2014,1,"District of Columbia Public Schools","ECONOMY","Math","all","full_year",13745,0.346142185842049,0.509606639381537
2014,1,"District of Columbia Public Schools","LEP","Math","all","full_year",2099,0.48326359832636,0.61244769874477
2014,114,"D.C. Bilingual PCS","ECONOMY","Math","all","full_year",142,0.433962264150943,0.575471698113208
2014,116,"E.L. Haynes PCS","BL7","Math","all","full_year",265,0.729885057471264,0.797413793103448
2014,122,"Hospitality PCS","ECONOMY","Math","all","full_year",30,0.5,0.625
2014,125,"Perry Street Prep PCS","All","Math","all","full_year",340,0.408695652173913,0.556521739130435
2014,127,"Ideal Academy PCS","All","Math","all","full_year",117,0.431137724550898,0.573353293413174
2014,163,"National Collegiate Preparatory PCS","ECONOMY","Math","all","full_year",69,0.421052631578947,0.565789473684211
2014,167,"Richard Wright PCS for Journalism and Media Arts","All","Math","all","full_year",104,0.315771115605239,0.486828336703929
2014,175,"Somerset PCS","BL7","Math","all","full_year",145,0.3898639552546,0.44070862565005
2014,104,"Arts and Technology PCS","ECONOMY","Math","all","full_year",166,0.348066298342541,0.511049723756906
2014,109,"Cesar Chavez PCS","SPED","Math","all","full_year",111,0.244186046511628,0.433139534883721
2014,116,"E.L. Haynes PCS","MU7","Math","all","full_year",27,0.590911093037926,0.659092577531605
2014,120,"Friendship PCS","All","Math","all","full_year",1671,0.466842105263158,0.600131578947368
2014,133,"Maya Angelou PCS","All","Math","all","full_year",178,0.336700336700337,0.502525252525253
2014,135,"Meridian PCS","SPED","Math","all","full_year",50,0.172413793103448,0.379310344827586
2014,140,"Roots PCS","All","Math","all","full_year",36,0.388888888888889,0.541666666666667
2014,144,"Elsie Whitlow Stokes Community Freedom PCS","HI7","Math","all","full_year",57,0.618421052631579,0.713815789473684
2014,156,"Center City PCS","ECONOMY","Math","all","full_year",831,0.314907872696817,0.486180904522613
2014,117,"Eagle Academy PCS","BL7","Math","all","full_year",55,0.236716688113402,0.427537516085052
2014,118,"Early Childhood Academy PCS","All","Math","all","full_year",29,0.447368421052632,0.585526315789474
2014,125,"Perry Street Prep PCS","ECONOMY","Math","all","full_year",291,0.391941391941392,0.543956043956044
2014,126,"IDEA PCS","ECONOMY","Math","all","full_year",46,0.365853658536585,0.524390243902439
2014,132,"Mary McLeod Bethune  PCS","ECONOMY","Math","all","full_year",175,0.306451612903226,0.479838709677419
2014,133,"Maya Angelou PCS","ECONOMY","Math","all","full_year",178,0.35408560311284,0.51556420233463
2014,147,"Tree of Life PCS","All","Math","all","full_year",122,0.413333333333333,0.56
2014,151,"Washington Latin PCS","All","Math","all","full_year",428,0.747422680412371,0.810567010309278
2014,151,"Washington Latin PCS","SPED","Math","all","full_year",35,0.554570092015314,0.628808410012761
2014,151,"Washington Latin PCS","WH7","Math","all","full_year",167,0.918518518518519,0.938888888888889
2014,168,"Basis DC PCS","WH7","Math","all","full_year",154,0.921846192646189,0.934871827205158
2014,175,"Somerset PCS","ECONOMY","Math","all","full_year",146,0.396599153170331,0.446882557072804
2014,104,"Arts and Technology PCS","SPED","Math","all","full_year",40,0.0974272348724564,0.24785602906038
2014,113,"Community Academy PCS","HI7","Math","all","full_year",62,0.654545454545455,0.740909090909091
2014,114,"D.C. Bilingual PCS","SPED","Math","all","full_year",34,0.337541786845192,0.392746637941426
2014,116,"E.L. Haynes PCS","WH7","Math","all","full_year",46,0.941176470588235,0.955882352941176
2014,125,"Perry Street Prep PCS","SPED","Math","all","full_year",69,0.16,0.37
2014,129,"KIPP DC PCS","ECONOMY","Math","all","full_year",1142,0.762322015334064,0.821741511500548
2014,142,"School for Educational Evolution and Development (SEED) PCS","BL7","Math","all","full_year",258,0.758241758241758,0.818681318681319
2014,144,"Elsie Whitlow Stokes Community Freedom PCS","BL7","Math","all","full_year",79,0.662650602409639,0.746987951807229
2014,151,"Washington Latin PCS","ECONOMY","Math","all","full_year",103,0.62833122583785,0.721248419378387
2014,153,"William E. Doar Jr PCS","ECONOMY","Math","all","full_year",184,0.30379746835443,0.477848101265823
2014,155,"Achievement Preparatory Academy PCS","SPED","Math","all","full_year",74,0.399824176045379,0.549868132034034
2014,135,"Meridian PCS","BL7","Reading","all","full_year",159,0.522875816993464,0.642156862745098
2014,135,"Meridian PCS","HI7","Reading","all","full_year",95,0.513888888888889,0.635416666666667
2014,143,"St. Coletta Special Education PCS","BL7","Reading","all","full_year",73,0.895522388059702,0.921641791044776
2014,147,"Tree of Life PCS","ECONOMY","Reading","all","full_year",122,0.420689655172414,0.56551724137931
2014,152,"Washington Math Science & Technology (WMST) PCS","All","Reading","all","full_year",75,0.590909090909091,0.693181818181818
2014,155,"Achievement Preparatory Academy PCS","BL7","Reading","all","full_year",411,0.596899224806202,0.697674418604651
2014,163,"National Collegiate Preparatory PCS","BL7","Reading","all","full_year",69,0.484375,0.61328125
2014,1,"District of Columbia Public Schools","AS7","Reading","all","full_year",352,0.707656612529002,0.780742459396752
2014,104,"Arts and Technology PCS","BL7","Reading","all","full_year",165,0.405,0.55375
2014,115,"D.C. Preparatory Academy PCS","BL7","Reading","all","full_year",437,0.732638888888889,0.799479166666667
2014,117,"Eagle Academy PCS","ECONOMY","Reading","all","full_year",45,0.293099930945123,0.469824948208842
2014,106,"Booker T. Washington PCS","ECONOMY","Reading","all","full_year",30,0.424242424242424,0.568181818181818
2014,109,"Cesar Chavez PCS","All","Reading","all","full_year",741,0.465049928673324,0.598787446504993
2014,132,"Mary McLeod Bethune  PCS","BL7","Reading","all","full_year",155,0.40650406504065,0.554878048780488
2014,135,"Meridian PCS","All","Reading","all","full_year",256,0.52,0.64
2014,158,"Excel Academy PCS","ECONOMY","Reading","all","full_year",157,0.52020615805135,0.640154618538513
2014,165,"Inspired Teaching Demonstration PCS","All","Reading","all","full_year",53,0.526474585943133,0.605395488285944
