school_year,lea_name,lea_code,school_name,school_code,elem_sec_classification,poverty_quartile,num_total_classes,num_hq_classes,num_nhq_classes
2013-2014,EARLY CHILDHOOD ACADEMY PCS,118,EARLY CHILDHOOD ACADEMY PCS JOHENNING CAMPUS,138,ELEM,3,24,16,8
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS WOODRIDGE MIDDLE,366,SEC,2,122,122,0
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS CHAMBERLAIN MIDDLE,364,SEC,4,25,20,5
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS TECHNOLOGY PREPARATORY ACADEMY,1124,SEC,4,9,7,2
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS WOODSON COLLEGIATE ACADEMY,186,SEC,4,6,2,4
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS BLOW PIERCE MIDDLE,362,SEC,4,31,22,9
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS WOODRIDGE ELEMENTARY,365,ELEM,2,20,14,6
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS CHAMBERLAIN ELEMENTARY,363,ELEM,3,10,10,0
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS SOUTHEAST ACADEMY,113,ELEM,4,25,20,5
2013-2014,FRIENDSHIP PCS,120,FRIENDSHIP PCS BLOW PIERCE ELEMENTARY,361,ELEM,4,10,9,1
2013-2014,HOPE COMMUNITY ACADEMY PCS,121,HOPE COMMUNITY PCS LAMOND CAMPUS,131,ELEM,2,14,14,0
2013-2014,HOPE COMMUNITY ACADEMY PCS,121,HOPE COMMUNITY PCS TOLSON CAMPUS,114,ELEM,2,22,21,1
2013-2014,HOSPITALITY PCS,122,HOSPITALITY PCS,160,SEC,4,133,131,2
2013-2014,CEDAR TREE ACADEMY PUBLIC CHARTER SCHOOL,123,CEDAR TREE ACADEMY PCS,188,ELEM,3,10,8,2
2013-2014,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE,124,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS,115,SEC,2,12,12,0
2013-2014,PERRY STREET PREP PCS,125,PERRY STREET PREP PCS,161,ELEM,2,19,11,8
2013-2014,IDEA PCS,126,IDEA PCS,163,SEC,3,4,4,0
2013-2014,IDEAL ACADEMY PCS,127,IDEAL ACADEMY PCS NORTH CAPITOL STREET CAMPUS ES,134,ELEM,3,20,18,2
2013-2014,KIPP DC PCS,129,KIPP DC COLLEGE PREP PCS,1123,SEC,3,32,28,4
2013-2014,KIPP DC PCS,129,KIPP DC KEY ACADEMY PCS,189,SEC,3,62,61,1
