school_year,lea_name,lea_code,school_name,school_code,elem_sec_classification,poverty_quartile,num_total_classes,num_hq_classes,num_nhq_classes
2013-2014,Paul PCS,138,Paul PCS-International High School,222,SEC,2,17,17,0
2013-2014,Thurgood Marshall Academy,146,Thurgood Marshall Academy,191,SEC,2,135,135,0
2013-2014,District of Columbia Public Schools,001,Washington Metropolitan HS (formerly YEA),474,SEC,2,40,31,9
2013-2014,District of Columbia Public Schools,001,Woodson H D HS,464,SEC,2,237,210,27
2013-2014,Cesar Chavez PCS,109,Cesar Chavez for Public Policy-Capitol Hill PCS,153,SEC,3,144,144,0
2013-2014,Cesar Chavez PCS,109,Cesar Chavez PCS for Public Policy-Parkside HS,109,SEC,3,133,133,0
2013-2014,D.C. Preparatory Academy PCS,115,D C  Prep-Edgewood Middle Campus PCS,196,SEC,3,47,47,0
2013-2014,District of Columbia Public Schools,001,Hart MS,413,ELEM ,3,13,7,6
2013-2014,District of Columbia Public Schools,001,Hart MS,413,SEC,3,31,24,7
2013-2014,IDEA PCS,126,IDEA PCS,163,SEC,3,77,77,0
2013-2014,District of Columbia Public Schools,001,Jefferson Middle School Academy,433,ELEM,3,16,12,4
2013-2014,District of Columbia Public Schools,001,Jefferson Middle School Academy,433,SEC,3,42,22,20
2013-2014,District of Columbia Public Schools,001,Johnson  John Hayden MS,416,ELEM,3,16,4,12
2013-2014,District of Columbia Public Schools,001,Johnson  John Hayden MS,416,SEC,3,58,23,35
2013-2014,District of Columbia Public Schools,001,Kelly Miller MS,421,ELEM,3,24,20,4
2013-2014,District of Columbia Public Schools,001,Kelly Miller MS,421,SEC,3,68,51,17
2013-2014,KIPP DC PCS,129,KIPP DC College Prep PCS,1123,SEC,3,122,122,0
2013-2014,KIPP DC PCS,129,KIPP DC KEY Academy PCS,189,SEC,3,72,72,0
2013-2014,KIPP DC PCS,129,KIPP DC WILL Academy PCS,121,SEC,3,89,89,0
2013-2014,District of Columbia Public Schools,001,Kramer MS,417,ELEM,3,18,15,3
2013-2014,District of Columbia Public Schools,001,Kramer MS,417,SEC,3,18,9,9
2013-2014,Paul PCS,138,Paul PCS-Middle School,170,SEC,3,29,29,0
2013-2014,District of Columbia Public Schools,001,Phelps Architecture Construction and Engineering HS,478,SEC,3,112,83,29
2013-2014,SEED PCS of Washington DC,142,SEED PCS of Washington DC,174,SEC,3,110,110,0
2013-2014,Somerset PCS,175,Somerset Preparatory Academy PCS,187,SEC,3,6,3,3
2013-2014,District of Columbia Public Schools,001,Sousa MS,427,ELEM,3,16,16,0
2013-2014,District of Columbia Public Schools,001,Sousa MS,427,SEC,3,42,38,4
2013-2014,Achievement Preparatory Academy PCS,155,Achievement Preparatory Academy PCS-Middle School,1100,SEC,4,122,122,0
2013-2014,Booker T. Washington PCS,106,Booker T  Washington PCS,151,"SEC, ADULT",4,66,66,0
2013-2014,Cesar Chavez PCS,109,Cesar Chavez for Public Policy-Parkside MS PCS,102,SEC,4,69,69,0
2013-2014,Cesar Chavez PCS,109,Cesar Chavez PCS for Public Policy-Chavez Prep,127,SEC,4,72,72,0
2013-2014,District of Columbia Public Schools,001,Columbia Heights EC (CHEC),442,ELEM,4,11,3,8
2013-2014,District of Columbia Public Schools,001,Columbia Heights EC (CHEC),442,SEC,4,188,163,25
2013-2014,Friendship PCS,120,Friendship PCS Blow Pierce Middle,362,SEC,4,25,20,5
2013-2014,Friendship PCS,120,Friendship PCS Chamberlain Middle,364,SEC,4,45,45,0
2013-2014,Friendship PCS,120,Friendship PCS Technology Preparatory Academy,1124,SEC,4,57,57,0
2013-2014,Friendship PCS,120,Friendship PCS Woodson Collegiate Academy,186,SEC,4,133,131,2
2013-2014,Hospitality PCS,122,Hospitality PCS,160,SEC,4,81,74,7
2013-2014,KIPP DC PCS,129,KIPP DC AIM PCS Academy PCS,116,SEC,4,82,82,0
2013-2014,DYRS,4002,Maya Angelou Academy at New Beginnings,860,SEC,4,42,42,0
2013-2014,Maya Angelou PCS,133,Maya Angelou PCS- Evans Middle School,133,SEC,4,32,28,4
2013-2014,Maya Angelou PCS,133,Maya Angelou PCS-Evans High School,101,SEC,4,128,127,1
2013-2014,National Collegiate Preparatory PCS,163,National Collegiate Prep PCS,1120,SEC,4,37,37,0
2013-2014,Options PCS,137,Options PCS,169,SEC,4,15,15,0
