,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
452-2013-14-All Students-Entry-External-October,452-2013-14-All Students-Entry-External,October,452,2013-14,All Students,Entry,0.038348082,0.033326045,External,678,26
452-2013-14-All Students-Withdrawal-External-October,452-2013-14-All Students-Withdrawal-External,October,452,2013-14,All Students,Withdrawal,0.007374631,0.009184343,External,678,5
452-2013-14-All Students-Net Cumulative-External-October,452-2013-14-All Students-Net Cumulative-External,October,452,2013-14,All Students,Net Cumulative,0.030973451,0.024141701,External,678,21
454-2013-14-All Students-Entry-External-April,454-2013-14-All Students-Entry-External,April,454,2013-14,All Students,Entry,0.267254025,0.075585559,External,681,182
454-2013-14-All Students-Withdrawal-External-April,454-2013-14-All Students-Withdrawal-External,April,454,2013-14,All Students,Withdrawal,0.089574158,0.077073574,External,681,61
454-2013-14-All Students-Net Cumulative-External-April,454-2013-14-All Students-Net Cumulative-External,April,454,2013-14,All Students,Net Cumulative,0.177679881,-0.001488013,External,681,121
454-2013-14-All Students-Entry-External-December,454-2013-14-All Students-Entry-External,December,454,2013-14,All Students,Entry,0.116005875,0.040038578,External,681,79
454-2013-14-All Students-Withdrawal-External-December,454-2013-14-All Students-Withdrawal-External,December,454,2013-14,All Students,Withdrawal,0.033773862,0.027362909,External,681,23
454-2013-14-All Students-Net Cumulative-External-December,454-2013-14-All Students-Net Cumulative-External,December,454,2013-14,All Students,Net Cumulative,0.082232013,0.012675668,External,681,56
454-2013-14-All Students-Entry-External-February,454-2013-14-All Students-Entry-External,February,454,2013-14,All Students,Entry,0.193832606,0.060402315,External,681,132
454-2013-14-All Students-Withdrawal-External-February,454-2013-14-All Students-Withdrawal-External,February,454,2013-14,All Students,Withdrawal,0.058737151,0.053954259,External,681,40
454-2013-14-All Students-Net Cumulative-External-February,454-2013-14-All Students-Net Cumulative-External,February,454,2013-14,All Students,Net Cumulative,0.135095447,0.006448057,External,681,92
454-2013-14-All Students-Entry-External-January,454-2013-14-All Students-Entry-External,January,454,2013-14,All Students,Entry,0.164464027,0.050592449,External,681,112
454-2013-14-All Students-Withdrawal-External-January,454-2013-14-All Students-Withdrawal-External,January,454,2013-14,All Students,Withdrawal,0.044052862,0.043097273,External,681,30
454-2013-14-All Students-Net Cumulative-External-January,454-2013-14-All Students-Net Cumulative-External,January,454,2013-14,All Students,Net Cumulative,0.120411158,0.007495178,External,681,82
454-2013-14-All Students-Entry-External-March,454-2013-14-All Students-Entry-External,March,454,2013-14,All Students,Entry,0.22760646,0.068476163,External,681,155
454-2013-14-All Students-Withdrawal-External-March,454-2013-14-All Students-Withdrawal-External,March,454,2013-14,All Students,Withdrawal,0.073421441,0.065307245,External,681,50
454-2013-14-All Students-Net Cumulative-External-March,454-2013-14-All Students-Net Cumulative-External,March,454,2013-14,All Students,Net Cumulative,0.154185027,0.003168917,External,681,105
454-2013-14-All Students-Entry-External-May,454-2013-14-All Students-Entry-External,May,454,2013-14,All Students,Entry,0.295154184,0.081262052,External,681,201
454-2013-14-All Students-Withdrawal-External-May,454-2013-14-All Students-Withdrawal-External,May,454,2013-14,All Students,Withdrawal,0.111600585,0.090989254,External,681,76
454-2013-14-All Students-Net Cumulative-External-May,454-2013-14-All Students-Net Cumulative-External,May,454,2013-14,All Students,Net Cumulative,0.183553591,-0.009727198,External,681,125
454-2013-14-All Students-Entry-External-November,454-2013-14-All Students-Entry-External,November,454,2013-14,All Students,Entry,0.086637296,0.034003858,External,681,59
454-2013-14-All Students-Withdrawal-External-November,454-2013-14-All Students-Withdrawal-External,November,454,2013-14,All Students,Withdrawal,0.024963289,0.019647285,External,681,17
454-2013-14-All Students-Net Cumulative-External-November,454-2013-14-All Students-Net Cumulative-External,November,454,2013-14,All Students,Net Cumulative,0.06167401,0.014356572,External,681,42
454-2013-14-All Students-Entry-External-October,454-2013-14-All Students-Entry-External,October,454,2013-14,All Students,Entry,0.058737151,0.026150454,External,681,40
454-2013-14-All Students-Withdrawal-External-October,454-2013-14-All Students-Withdrawal-External,October,454,2013-14,All Students,Withdrawal,0.010279002,0.008872968,External,681,7
454-2013-14-All Students-Net Cumulative-External-October,454-2013-14-All Students-Net Cumulative-External,October,454,2013-14,All Students,Net Cumulative,0.048458152,0.017277487,External,681,33
455-2013-14-All Students-Entry-External-April,455-2013-14-All Students-Entry-External,April,455,2013-14,All Students,Entry,0.11316397,0.085239448,External,433,49
455-2013-14-All Students-Withdrawal-External-April,455-2013-14-All Students-Withdrawal-External,April,455,2013-14,All Students,Withdrawal,0.122401848,0.085370652,External,433,53
455-2013-14-All Students-Net Cumulative-External-April,455-2013-14-All Students-Net Cumulative-External,April,455,2013-14,All Students,Net Cumulative,-0.009237875,-0.000131205,External,433,-4
455-2013-14-All Students-Entry-External-December,455-2013-14-All Students-Entry-External,December,455,2013-14,All Students,Entry,0.04157044,0.047802318,External,433,18
455-2013-14-All Students-Withdrawal-External-December,455-2013-14-All Students-Withdrawal-External,December,455,2013-14,All Students,Withdrawal,0.034642033,0.030089656,External,433,15
455-2013-14-All Students-Net Cumulative-External-December,455-2013-14-All Students-Net Cumulative-External,December,455,2013-14,All Students,Net Cumulative,0.006928407,0.017712662,External,433,3
455-2013-14-All Students-Entry-External-February,455-2013-14-All Students-Entry-External,February,455,2013-14,All Students,Entry,0.087759815,0.070413299,External,433,38
455-2013-14-All Students-Withdrawal-External-February,455-2013-14-All Students-Withdrawal-External,February,455,2013-14,All Students,Withdrawal,0.1039261,0.062584735,External,433,45
455-2013-14-All Students-Net Cumulative-External-February,455-2013-14-All Students-Net Cumulative-External,February,455,2013-14,All Students,Net Cumulative,-0.016166281,0.007828559,External,433,-7
455-2013-14-All Students-Entry-External-January,455-2013-14-All Students-Entry-External,January,455,2013-14,All Students,Entry,0.07159353,0.059567023,External,433,31
455-2013-14-All Students-Withdrawal-External-January,455-2013-14-All Students-Withdrawal-External,January,455,2013-14,All Students,Withdrawal,0.073903002,0.050251476,External,433,32
455-2013-14-All Students-Net Cumulative-External-January,455-2013-14-All Students-Net Cumulative-External,January,455,2013-14,All Students,Net Cumulative,-0.002309469,0.009315548,External,433,-1
455-2013-14-All Students-Entry-External-March,455-2013-14-All Students-Entry-External,March,455,2013-14,All Students,Entry,0.096997693,0.077804506,External,433,42
455-2013-14-All Students-Withdrawal-External-March,455-2013-14-All Students-Withdrawal-External,March,455,2013-14,All Students,Withdrawal,0.120092377,0.075092934,External,433,52
455-2013-14-All Students-Net Cumulative-External-March,455-2013-14-All Students-Net Cumulative-External,March,455,2013-14,All Students,Net Cumulative,-0.023094688,0.002711568,External,433,-10
455-2013-14-All Students-Entry-External-May,455-2013-14-All Students-Entry-External,May,455,2013-14,All Students,Entry,0.115473442,0.09026897,External,433,50
455-2013-14-All Students-Withdrawal-External-May,455-2013-14-All Students-Withdrawal-External,May,455,2013-14,All Students,Withdrawal,0.131639719,0.103476927,External,433,57
455-2013-14-All Students-Net Cumulative-External-May,455-2013-14-All Students-Net Cumulative-External,May,455,2013-14,All Students,Net Cumulative,-0.016166281,-0.01320796,External,433,-7
455-2013-14-All Students-Entry-External-November,455-2013-14-All Students-Entry-External,November,455,2013-14,All Students,Entry,0.030023094,0.041766893,External,433,13
455-2013-14-All Students-Withdrawal-External-November,455-2013-14-All Students-Withdrawal-External,November,455,2013-14,All Students,Withdrawal,0.025404157,0.021473868,External,433,11
455-2013-14-All Students-Net Cumulative-External-November,455-2013-14-All Students-Net Cumulative-External,November,455,2013-14,All Students,Net Cumulative,0.004618938,0.020293023,External,433,2
455-2013-14-All Students-Entry-External-October,455-2013-14-All Students-Entry-External,October,455,2013-14,All Students,Entry,0.02078522,0.033326045,External,433,9
455-2013-14-All Students-Withdrawal-External-October,455-2013-14-All Students-Withdrawal-External,October,455,2013-14,All Students,Withdrawal,0.009237875,0.009184343,External,433,4
455-2013-14-All Students-Net Cumulative-External-October,455-2013-14-All Students-Net Cumulative-External,October,455,2013-14,All Students,Net Cumulative,0.011547344,0.024141701,External,433,5
456-2013-14-All Students-Entry-External-April,456-2013-14-All Students-Entry-External,April,456,2013-14,All Students,Entry,0.01764706,0.08176101,External,850,15
456-2013-14-All Students-Withdrawal-External-April,456-2013-14-All Students-Withdrawal-External,April,456,2013-14,All Students,Withdrawal,0,0.093291402,External,850,0
456-2013-14-All Students-Net Cumulative-External-April,456-2013-14-All Students-Net Cumulative-External,April,456,2013-14,All Students,Net Cumulative,0.01764706,-0.011530398,External,850,15
456-2013-14-All Students-Entry-External-December,456-2013-14-All Students-Entry-External,December,456,2013-14,All Students,Entry,0.01764706,0.064540282,External,850,15
456-2013-14-All Students-Withdrawal-External-December,456-2013-14-All Students-Withdrawal-External,December,456,2013-14,All Students,Withdrawal,0,0.037436359,External,850,0
456-2013-14-All Students-Net Cumulative-External-December,456-2013-14-All Students-Net Cumulative-External,December,456,2013-14,All Students,Net Cumulative,0.01764706,0.027103923,External,850,15
456-2013-14-All Students-Entry-External-February,456-2013-14-All Students-Entry-External,February,456,2013-14,All Students,Entry,0.01764706,0.076519914,External,850,15
456-2013-14-All Students-Withdrawal-External-February,456-2013-14-All Students-Withdrawal-External,February,456,2013-14,All Students,Withdrawal,0,0.074872717,External,850,0
456-2013-14-All Students-Net Cumulative-External-February,456-2013-14-All Students-Net Cumulative-External,February,456,2013-14,All Students,Net Cumulative,0.01764706,0.0016472,External,850,15
456-2013-14-All Students-Entry-External-January,456-2013-14-All Students-Entry-External,January,456,2013-14,All Students,Entry,0.01764706,0.068583407,External,850,15
456-2013-14-All Students-Withdrawal-External-January,456-2013-14-All Students-Withdrawal-External,January,456,2013-14,All Students,Withdrawal,0,0.064690024,External,850,0
456-2013-14-All Students-Net Cumulative-External-January,456-2013-14-All Students-Net Cumulative-External,January,456,2013-14,All Students,Net Cumulative,0.01764706,0.003893381,External,850,15
456-2013-14-All Students-Entry-External-March,456-2013-14-All Students-Entry-External,March,456,2013-14,All Students,Entry,0.01764706,0.079514824,External,850,15
456-2013-14-All Students-Withdrawal-External-March,456-2013-14-All Students-Withdrawal-External,March,456,2013-14,All Students,Withdrawal,0,0.085804135,External,850,0
456-2013-14-All Students-Net Cumulative-External-March,456-2013-14-All Students-Net Cumulative-External,March,456,2013-14,All Students,Net Cumulative,0.01764706,-0.006289308,External,850,15
456-2013-14-All Students-Entry-External-May,456-2013-14-All Students-Entry-External,May,456,2013-14,All Students,Entry,0.01764706,0.083108716,External,850,15
456-2013-14-All Students-Withdrawal-External-May,456-2013-14-All Students-Withdrawal-External,May,456,2013-14,All Students,Withdrawal,0.032941177,0.128182083,External,850,28
456-2013-14-All Students-Net Cumulative-External-May,456-2013-14-All Students-Net Cumulative-External,May,456,2013-14,All Students,Net Cumulative,-0.015294118,-0.045073375,External,850,-13
456-2013-14-All Students-Entry-External-November,456-2013-14-All Students-Entry-External,November,456,2013-14,All Students,Entry,0.01764706,0.061844863,External,850,15
456-2013-14-All Students-Withdrawal-External-November,456-2013-14-All Students-Withdrawal-External,November,456,2013-14,All Students,Withdrawal,0,0.029050615,External,850,0
456-2013-14-All Students-Net Cumulative-External-November,456-2013-14-All Students-Net Cumulative-External,November,456,2013-14,All Students,Net Cumulative,0.01764706,0.032794248,External,850,15
456-2013-14-All Students-Entry-External-October,456-2013-14-All Students-Entry-External,October,456,2013-14,All Students,Entry,0.01764706,0.057352502,External,850,15
456-2013-14-All Students-Withdrawal-External-October,456-2013-14-All Students-Withdrawal-External,October,456,2013-14,All Students,Withdrawal,0,0.012728361,External,850,0
456-2013-14-All Students-Net Cumulative-External-October,456-2013-14-All Students-Net Cumulative-External,October,456,2013-14,All Students,Net Cumulative,0.01764706,0.044624139,External,850,15
457-2013-14-All Students-Entry-External-April,457-2013-14-All Students-Entry-External,April,457,2013-14,All Students,Entry,0.126436785,0.091526277,External,783,99
457-2013-14-All Students-Withdrawal-External-April,457-2013-14-All Students-Withdrawal-External,April,457,2013-14,All Students,Withdrawal,0.070242658,0.091828011,External,783,55
457-2013-14-All Students-Net Cumulative-External-April,457-2013-14-All Students-Net Cumulative-External,April,457,2013-14,All Students,Net Cumulative,0.056194127,-0.000301735,External,783,44
457-2013-14-All Students-Entry-External-December,457-2013-14-All Students-Entry-External,December,457,2013-14,All Students,Entry,0.047254149,0.051747549,External,783,37
457-2013-14-All Students-Withdrawal-External-December,457-2013-14-All Students-Withdrawal-External,December,457,2013-14,All Students,Withdrawal,0.020434227,0.032386221,External,783,16
457-2013-14-All Students-Net Cumulative-External-December,457-2013-14-All Students-Net Cumulative-External,December,457,2013-14,All Students,Net Cumulative,0.026819924,0.019361328,External,783,21
457-2013-14-All Students-Entry-External-February,457-2013-14-All Students-Entry-External,February,457,2013-14,All Students,Entry,0.102171138,0.075081721,External,783,80
457-2013-14-All Students-Withdrawal-External-February,457-2013-14-All Students-Withdrawal-External,February,457,2013-14,All Students,Withdrawal,0.049808428,0.067286901,External,783,39
457-2013-14-All Students-Net Cumulative-External-February,457-2013-14-All Students-Net Cumulative-External,February,457,2013-14,All Students,Net Cumulative,0.052362707,0.00779482,External,783,41
457-2013-14-All Students-Entry-External-January,457-2013-14-All Students-Entry-External,January,457,2013-14,All Students,Entry,0.083014049,0.063917525,External,783,65
457-2013-14-All Students-Withdrawal-External-January,457-2013-14-All Students-Withdrawal-External,January,457,2013-14,All Students,Withdrawal,0.033205621,0.054010559,External,783,26
457-2013-14-All Students-Net Cumulative-External-January,457-2013-14-All Students-Net Cumulative-External,January,457,2013-14,All Students,Net Cumulative,0.049808428,0.009906965,External,783,39
457-2013-14-All Students-Entry-External-March,457-2013-14-All Students-Entry-External,March,457,2013-14,All Students,Entry,0.112388253,0.083329141,External,783,88
457-2013-14-All Students-Withdrawal-External-March,457-2013-14-All Students-Withdrawal-External,March,457,2013-14,All Students,Withdrawal,0.066411242,0.080814682,External,783,52
457-2013-14-All Students-Net Cumulative-External-March,457-2013-14-All Students-Net Cumulative-External,March,457,2013-14,All Students,Net Cumulative,0.045977011,0.002514458,External,783,36
457-2013-14-All Students-Entry-External-May,457-2013-14-All Students-Entry-External,May,457,2013-14,All Students,Entry,0.130268201,0.097108372,External,783,102
457-2013-14-All Students-Withdrawal-External-May,457-2013-14-All Students-Withdrawal-External,May,457,2013-14,All Students,Withdrawal,0.088122606,0.110334426,External,783,69
457-2013-14-All Students-Net Cumulative-External-May,457-2013-14-All Students-Net Cumulative-External,May,457,2013-14,All Students,Net Cumulative,0.042145595,-0.01322605,External,783,33
457-2013-14-All Students-Entry-External-November,457-2013-14-All Students-Entry-External,November,457,2013-14,All Students,Entry,0.039591316,0.045260247,External,783,31
457-2013-14-All Students-Withdrawal-External-November,457-2013-14-All Students-Withdrawal-External,November,457,2013-14,All Students,Withdrawal,0.010217113,0.023233593,External,783,8
457-2013-14-All Students-Net Cumulative-External-November,457-2013-14-All Students-Net Cumulative-External,November,457,2013-14,All Students,Net Cumulative,0.029374203,0.022026652,External,783,23
457-2013-14-All Students-Entry-External-October,457-2013-14-All Students-Entry-External,October,457,2013-14,All Students,Entry,0.022988506,0.036308777,External,783,18
457-2013-14-All Students-Withdrawal-External-October,457-2013-14-All Students-Withdrawal-External,October,457,2013-14,All Students,Withdrawal,0.005108557,0.009806387,External,783,4
457-2013-14-All Students-Net Cumulative-External-October,457-2013-14-All Students-Net Cumulative-External,October,457,2013-14,All Students,Net Cumulative,0.017879948,0.026502389,External,783,14
458-2013-14-All Students-Entry-External-April,458-2013-14-All Students-Entry-External,April,458,2013-14,All Students,Entry,0.005934718,0.086674489,External,674,4
458-2013-14-All Students-Withdrawal-External-April,458-2013-14-All Students-Withdrawal-External,April,458,2013-14,All Students,Withdrawal,0.020771513,0.082102925,External,674,14
458-2013-14-All Students-Net Cumulative-External-April,458-2013-14-All Students-Net Cumulative-External,April,458,2013-14,All Students,Net Cumulative,-0.014836796,0.00457157,External,674,-10
458-2013-14-All Students-Entry-External-December,458-2013-14-All Students-Entry-External,December,458,2013-14,All Students,Entry,0.005934718,0.040897015,External,674,4
458-2013-14-All Students-Withdrawal-External-December,458-2013-14-All Students-Withdrawal-External,December,458,2013-14,All Students,Withdrawal,0.005934718,0.02705875,External,674,4
458-2013-14-All Students-Net Cumulative-External-December,458-2013-14-All Students-Net Cumulative-External,December,458,2013-14,All Students,Net Cumulative,0,0.013838265,External,674,0
458-2013-14-All Students-Entry-External-February,458-2013-14-All Students-Entry-External,February,458,2013-14,All Students,Entry,0.005934718,0.067893989,External,674,4
458-2013-14-All Students-Withdrawal-External-February,458-2013-14-All Students-Withdrawal-External,February,458,2013-14,All Students,Withdrawal,0.017804155,0.05751529,External,674,12
458-2013-14-All Students-Net Cumulative-External-February,458-2013-14-All Students-Net Cumulative-External,February,458,2013-14,All Students,Net Cumulative,-0.011869436,0.010378699,External,674,-8
458-2013-14-All Students-Entry-External-January,458-2013-14-All Students-Entry-External,January,458,2013-14,All Students,Entry,0.005934718,0.055847283,External,674,4
458-2013-14-All Students-Withdrawal-External-January,458-2013-14-All Students-Withdrawal-External,January,458,2013-14,All Students,Withdrawal,0.011869436,0.044294804,External,674,8
458-2013-14-All Students-Net Cumulative-External-January,458-2013-14-All Students-Net Cumulative-External,January,458,2013-14,All Students,Net Cumulative,-0.005934718,0.01155248,External,674,-4
458-2013-14-All Students-Entry-External-March,458-2013-14-All Students-Entry-External,March,458,2013-14,All Students,Entry,0.005934718,0.077098906,External,674,4
458-2013-14-All Students-Withdrawal-External-March,458-2013-14-All Students-Withdrawal-External,March,458,2013-14,All Students,Withdrawal,0.019287834,0.070673995,External,674,13
458-2013-14-All Students-Net Cumulative-External-March,458-2013-14-All Students-Net Cumulative-External,March,458,2013-14,All Students,Net Cumulative,-0.013353116,0.006424909,External,674,-9
458-2013-14-All Students-Entry-External-May,458-2013-14-All Students-Entry-External,May,458,2013-14,All Students,Entry,0.007418398,0.093222953,External,674,5
458-2013-14-All Students-Withdrawal-External-May,458-2013-14-All Students-Withdrawal-External,May,458,2013-14,All Students,Withdrawal,0.022255193,0.093284734,External,674,15
458-2013-14-All Students-Net Cumulative-External-May,458-2013-14-All Students-Net Cumulative-External,May,458,2013-14,All Students,Net Cumulative,-0.014836796,-6.1778E-05,External,674,-10
458-2013-14-All Students-Entry-External-November,458-2013-14-All Students-Entry-External,November,458,2013-14,All Students,Entry,0.00148368,0.033483658,External,674,1
458-2013-14-All Students-Withdrawal-External-November,458-2013-14-All Students-Withdrawal-External,November,458,2013-14,All Students,Withdrawal,0.004451039,0.018348057,External,674,3
458-2013-14-All Students-Net Cumulative-External-November,458-2013-14-All Students-Net Cumulative-External,November,458,2013-14,All Students,Net Cumulative,-0.002967359,0.015135603,External,674,-2
458-2013-14-All Students-Entry-External-October,458-2013-14-All Students-Entry-External,October,458,2013-14,All Students,Entry,0.00148368,0.02341385,External,674,1
458-2013-14-All Students-Withdrawal-External-October,458-2013-14-All Students-Withdrawal-External,October,458,2013-14,All Students,Withdrawal,0.00148368,0.007722246,External,674,1
458-2013-14-All Students-Net Cumulative-External-October,458-2013-14-All Students-Net Cumulative-External,October,458,2013-14,All Students,Net Cumulative,0,0.015691604,External,674,0
459-2013-14-All Students-Entry-External-April,459-2013-14-All Students-Entry-External,April,459,2013-14,All Students,Entry,0.214611873,0.085239448,External,438,94
459-2013-14-All Students-Withdrawal-External-April,459-2013-14-All Students-Withdrawal-External,April,459,2013-14,All Students,Withdrawal,0.132420093,0.085370652,External,438,58
459-2013-14-All Students-Net Cumulative-External-April,459-2013-14-All Students-Net Cumulative-External,April,459,2013-14,All Students,Net Cumulative,0.08219178,-0.000131205,External,438,36
459-2013-14-All Students-Entry-External-December,459-2013-14-All Students-Entry-External,December,459,2013-14,All Students,Entry,0.089041099,0.047802318,External,438,39
459-2013-14-All Students-Withdrawal-External-December,459-2013-14-All Students-Withdrawal-External,December,459,2013-14,All Students,Withdrawal,0.038812786,0.030089656,External,438,17
459-2013-14-All Students-Net Cumulative-External-December,459-2013-14-All Students-Net Cumulative-External,December,459,2013-14,All Students,Net Cumulative,0.050228309,0.017712662,External,438,22
459-2013-14-All Students-Entry-External-February,459-2013-14-All Students-Entry-External,February,459,2013-14,All Students,Entry,0.182648405,0.070413299,External,438,80
459-2013-14-All Students-Withdrawal-External-February,459-2013-14-All Students-Withdrawal-External,February,459,2013-14,All Students,Withdrawal,0.091324203,0.062584735,External,438,40
459-2013-14-All Students-Net Cumulative-External-February,459-2013-14-All Students-Net Cumulative-External,February,459,2013-14,All Students,Net Cumulative,0.091324203,0.007828559,External,438,40
459-2013-14-All Students-Entry-External-January,459-2013-14-All Students-Entry-External,January,459,2013-14,All Students,Entry,0.1369863,0.059567023,External,438,60
459-2013-14-All Students-Withdrawal-External-January,459-2013-14-All Students-Withdrawal-External,January,459,2013-14,All Students,Withdrawal,0.075342469,0.050251476,External,438,33
459-2013-14-All Students-Net Cumulative-External-January,459-2013-14-All Students-Net Cumulative-External,January,459,2013-14,All Students,Net Cumulative,0.061643835,0.009315548,External,438,27
459-2013-14-All Students-Entry-External-March,459-2013-14-All Students-Entry-External,March,459,2013-14,All Students,Entry,0.200913236,0.077804506,External,438,88
459-2013-14-All Students-Withdrawal-External-March,459-2013-14-All Students-Withdrawal-External,March,459,2013-14,All Students,Withdrawal,0.114155248,0.075092934,External,438,50
459-2013-14-All Students-Net Cumulative-External-March,459-2013-14-All Students-Net Cumulative-External,March,459,2013-14,All Students,Net Cumulative,0.086757988,0.002711568,External,438,38
459-2013-14-All Students-Entry-External-May,459-2013-14-All Students-Entry-External,May,459,2013-14,All Students,Entry,0.230593607,0.09026897,External,438,101
459-2013-14-All Students-Withdrawal-External-May,459-2013-14-All Students-Withdrawal-External,May,459,2013-14,All Students,Withdrawal,0.146118715,0.103476927,External,438,64
459-2013-14-All Students-Net Cumulative-External-May,459-2013-14-All Students-Net Cumulative-External,May,459,2013-14,All Students,Net Cumulative,0.084474884,-0.01320796,External,438,37
459-2013-14-All Students-Entry-External-November,459-2013-14-All Students-Entry-External,November,459,2013-14,All Students,Entry,0.052511416,0.041766893,External,438,23
459-2013-14-All Students-Withdrawal-External-November,459-2013-14-All Students-Withdrawal-External,November,459,2013-14,All Students,Withdrawal,0.034246575,0.021473868,External,438,15
459-2013-14-All Students-Net Cumulative-External-November,459-2013-14-All Students-Net Cumulative-External,November,459,2013-14,All Students,Net Cumulative,0.018264839,0.020293023,External,438,8
459-2013-14-All Students-Entry-External-October,459-2013-14-All Students-Entry-External,October,459,2013-14,All Students,Entry,0.018264839,0.033326045,External,438,8
459-2013-14-All Students-Withdrawal-External-October,459-2013-14-All Students-Withdrawal-External,October,459,2013-14,All Students,Withdrawal,0.015981736,0.009184343,External,438,7
459-2013-14-All Students-Net Cumulative-External-October,459-2013-14-All Students-Net Cumulative-External,October,459,2013-14,All Students,Net Cumulative,0.002283105,0.024141701,External,438,1
462-2013-14-All Students-Entry-External-April,462-2013-14-All Students-Entry-External,April,462,2013-14,All Students,Entry,0.190311417,0.112503052,External,578,110
462-2013-14-All Students-Withdrawal-External-April,462-2013-14-All Students-Withdrawal-External,April,462,2013-14,All Students,Withdrawal,0,0.103392176,External,578,0
462-2013-14-All Students-Net Cumulative-External-April,462-2013-14-All Students-Net Cumulative-External,April,462,2013-14,All Students,Net Cumulative,0.190311417,0.009110876,External,578,110
462-2013-14-All Students-Entry-External-December,462-2013-14-All Students-Entry-External,December,462,2013-14,All Students,Entry,0.190311417,0.065972507,External,578,110
462-2013-14-All Students-Withdrawal-External-December,462-2013-14-All Students-Withdrawal-External,December,462,2013-14,All Students,Withdrawal,0,0.038802572,External,578,0
462-2013-14-All Students-Net Cumulative-External-December,462-2013-14-All Students-Net Cumulative-External,December,462,2013-14,All Students,Net Cumulative,0.190311417,0.027169934,External,578,110
462-2013-14-All Students-Entry-External-February,462-2013-14-All Students-Entry-External,February,462,2013-14,All Students,Entry,0.190311417,0.09306109,External,578,110
462-2013-14-All Students-Withdrawal-External-February,462-2013-14-All Students-Withdrawal-External,February,462,2013-14,All Students,Withdrawal,0,0.076791666,External,578,0
462-2013-14-All Students-Net Cumulative-External-February,462-2013-14-All Students-Net Cumulative-External,February,462,2013-14,All Students,Net Cumulative,0.190311417,0.016269421,External,578,110
462-2013-14-All Students-Entry-External-January,462-2013-14-All Students-Entry-External,January,462,2013-14,All Students,Entry,0.190311417,0.079638816,External,578,110
462-2013-14-All Students-Withdrawal-External-January,462-2013-14-All Students-Withdrawal-External,January,462,2013-14,All Students,Withdrawal,0,0.063125357,External,578,0
462-2013-14-All Students-Net Cumulative-External-January,462-2013-14-All Students-Net Cumulative-External,January,462,2013-14,All Students,Net Cumulative,0.190311417,0.016513463,External,578,110
462-2013-14-All Students-Entry-External-March,462-2013-14-All Students-Entry-External,March,462,2013-14,All Students,Entry,0.190311417,0.102985442,External,578,110
462-2013-14-All Students-Withdrawal-External-March,462-2013-14-All Students-Withdrawal-External,March,462,2013-14,All Students,Withdrawal,0,0.092003576,External,578,0
462-2013-14-All Students-Net Cumulative-External-March,462-2013-14-All Students-Net Cumulative-External,March,462,2013-14,All Students,Net Cumulative,0.190311417,0.01098186,External,578,110
462-2013-14-All Students-Entry-External-May,462-2013-14-All Students-Entry-External,May,462,2013-14,All Students,Entry,0.190311417,0.119580247,External,578,110
462-2013-14-All Students-Withdrawal-External-May,462-2013-14-All Students-Withdrawal-External,May,462,2013-14,All Students,Withdrawal,0.050173011,0.129423246,External,578,29
462-2013-14-All Students-Net Cumulative-External-May,462-2013-14-All Students-Net Cumulative-External,May,462,2013-14,All Students,Net Cumulative,0.140138403,-0.009843,External,578,81
462-2013-14-All Students-Entry-External-November,462-2013-14-All Students-Entry-External,November,462,2013-14,All Students,Entry,0.190311417,0.058325876,External,578,110
462-2013-14-All Students-Withdrawal-External-November,462-2013-14-All Students-Withdrawal-External,November,462,2013-14,All Students,Withdrawal,0,0.029040918,External,578,0
462-2013-14-All Students-Net Cumulative-External-November,462-2013-14-All Students-Net Cumulative-External,November,462,2013-14,All Students,Net Cumulative,0.190311417,0.02928496,External,578,110
462-2013-14-All Students-Entry-External-October,462-2013-14-All Students-Entry-External,October,462,2013-14,All Students,Entry,0.190311417,0.048482876,External,578,110
462-2013-14-All Students-Withdrawal-External-October,462-2013-14-All Students-Withdrawal-External,October,462,2013-14,All Students,Withdrawal,0,0.011876678,External,578,0
462-2013-14-All Students-Net Cumulative-External-October,462-2013-14-All Students-Net Cumulative-External,October,462,2013-14,All Students,Net Cumulative,0.190311417,0.0366062,External,578,110
463-2013-14-All Students-Entry-External-April,463-2013-14-All Students-Entry-External,April,463,2013-14,All Students,Entry,0.050707549,0.085239448,External,1696,86
463-2013-14-All Students-Withdrawal-External-April,463-2013-14-All Students-Withdrawal-External,April,463,2013-14,All Students,Withdrawal,0.026533019,0.085370652,External,1696,45
463-2013-14-All Students-Net Cumulative-External-April,463-2013-14-All Students-Net Cumulative-External,April,463,2013-14,All Students,Net Cumulative,0.024174528,-0.000131205,External,1696,41
463-2013-14-All Students-Entry-External-December,463-2013-14-All Students-Entry-External,December,463,2013-14,All Students,Entry,0.016509434,0.047802318,External,1696,28
463-2013-14-All Students-Withdrawal-External-December,463-2013-14-All Students-Withdrawal-External,December,463,2013-14,All Students,Withdrawal,0.005306604,0.030089656,External,1696,9
463-2013-14-All Students-Net Cumulative-External-December,463-2013-14-All Students-Net Cumulative-External,December,463,2013-14,All Students,Net Cumulative,0.01120283,0.017712662,External,1696,19
463-2013-14-All Students-Entry-External-February,463-2013-14-All Students-Entry-External,February,463,2013-14,All Students,Entry,0.036556605,0.070413299,External,1696,62
463-2013-14-All Students-Withdrawal-External-February,463-2013-14-All Students-Withdrawal-External,February,463,2013-14,All Students,Withdrawal,0.017099056,0.062584735,External,1696,29
