,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
109-2013-14-All Students-Net Cumulative-External-April,109-2013-14-All Students-Net Cumulative-External,April,109,2013-14,All Students,Net Cumulative,-0.058981232,0.00457157,External,373,-22
109-2013-14-All Students-Entry-External-December,109-2013-14-All Students-Entry-External,December,109,2013-14,All Students,Entry,0,0.040897015,External,373,0
109-2013-14-All Students-Withdrawal-External-December,109-2013-14-All Students-Withdrawal-External,December,109,2013-14,All Students,Withdrawal,0.026809651,0.02705875,External,373,10
109-2013-14-All Students-Net Cumulative-External-December,109-2013-14-All Students-Net Cumulative-External,December,109,2013-14,All Students,Net Cumulative,-0.026809651,0.013838265,External,373,-10
109-2013-14-All Students-Entry-External-February,109-2013-14-All Students-Entry-External,February,109,2013-14,All Students,Entry,0.00536193,0.067893989,External,373,2
109-2013-14-All Students-Withdrawal-External-February,109-2013-14-All Students-Withdrawal-External,February,109,2013-14,All Students,Withdrawal,0.045576409,0.05751529,External,373,17
109-2013-14-All Students-Net Cumulative-External-February,109-2013-14-All Students-Net Cumulative-External,February,109,2013-14,All Students,Net Cumulative,-0.040214479,0.010378699,External,373,-15
109-2013-14-All Students-Entry-External-January,109-2013-14-All Students-Entry-External,January,109,2013-14,All Students,Entry,0.00536193,0.055847283,External,373,2
109-2013-14-All Students-Withdrawal-External-January,109-2013-14-All Students-Withdrawal-External,January,109,2013-14,All Students,Withdrawal,0.042895444,0.044294804,External,373,16
109-2013-14-All Students-Net Cumulative-External-January,109-2013-14-All Students-Net Cumulative-External,January,109,2013-14,All Students,Net Cumulative,-0.03753351,0.01155248,External,373,-14
109-2013-14-All Students-Entry-External-March,109-2013-14-All Students-Entry-External,March,109,2013-14,All Students,Entry,0.008042895,0.077098906,External,373,3
109-2013-14-All Students-Withdrawal-External-March,109-2013-14-All Students-Withdrawal-External,March,109,2013-14,All Students,Withdrawal,0.050938338,0.070673995,External,373,19
