Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,Month,ReportType,NSize,count
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.043918919,0.033977885,November,External,296,13
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.064189188,0.018348057,November,External,296,19
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,-0.020270269,0.015629826,November,External,296,-6
101-2013-14-All Students-Entry-External,101,2013-14,All Students,Entry,0.040540539,0.02341385,October,External,296,12
101-2013-14-All Students-Withdrawal-External,101,2013-14,All Students,Withdrawal,0.037162162,0.007722246,October,External,296,11
101-2013-14-All Students-Net Cumulative-External,101,2013-14,All Students,Net Cumulative,0.003378378,0.015691604,October,External,296,1
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.006557377,0.059143391,April,External,305,2
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.10819672,0.062942274,April,External,305,33
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.101639345,-0.003798883,April,External,305,-31
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0,0.026815642,December,External,305,0
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.052459016,0.022718808,December,External,305,16
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.052459016,0.004096834,December,External,305,-16
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.006557377,0.043351956,February,External,305,2
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.072131149,0.03925512,February,External,305,22
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.065573767,0.004096834,February,External,305,-20
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.006557377,0.035307262,January,External,305,2
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.059016392,0.030912478,January,External,305,18
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.052459016,0.004394786,January,External,305,-16
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.006557377,0.052588455,March,External,305,2
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.091803275,0.048640598,March,External,305,28
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.0852459,0.003947859,March,External,305,-26
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0.006557377,0.065921791,May,External,305,2
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.114754096,0.069720671,May,External,305,35
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.10819672,-0.003798883,May,External,305,-33
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0,0.020782122,November,External,305,0
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.049180329,0.016536312,November,External,305,15
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.049180329,0.00424581,November,External,305,-15
102-2013-14-All Students-Entry-External,102,2013-14,All Students,Entry,0,0.013929237,October,External,305,0
102-2013-14-All Students-Withdrawal-External,102,2013-14,All Students,Withdrawal,0.04262295,0.008342644,October,External,305,13
102-2013-14-All Students-Net Cumulative-External,102,2013-14,All Students,Net Cumulative,-0.04262295,0.005586592,October,External,305,-13
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.333333343,0.149475127,April,External,120,40
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.891666651,0.215883166,April,External,120,107
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.558333337,-0.066408031,April,External,120,-67
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.100000001,0.053324204,December,External,120,12
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.291666657,0.091282517,December,External,120,35
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.191666663,-0.037958313,December,External,120,-23
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.333333343,0.125437394,February,External,120,40
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.675000012,0.149855465,February,External,120,81
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.341666669,-0.024418075,February,External,120,-41
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.324999988,0.083371371,January,External,120,39
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.516666651,0.121786095,January,External,120,62
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.191666663,-0.038414728,January,External,120,-23
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.333333343,0.142933205,March,External,120,40
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.741666675,0.186064199,March,External,120,89
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.408333331,-0.04313099,March,External,120,-49
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.483333319,0.157690555,May,External,120,58
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.941666663,0.238475576,May,External,120,113
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.458333343,-0.080785029,May,External,120,-55
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.100000001,0.043435264,November,External,120,12
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.275000006,0.066864446,November,External,120,33
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.174999997,-0.02342918,November,External,120,-21
104-2013-14-All Students-Entry-External,104,2013-14,All Students,Entry,0.091666669,0.035295907,October,External,120,11
104-2013-14-All Students-Withdrawal-External,104,2013-14,All Students,Withdrawal,0.275000006,0.038566865,October,External,120,33
104-2013-14-All Students-Net Cumulative-External,104,2013-14,All Students,Net Cumulative,-0.183333337,-0.003270957,October,External,120,-22
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.013422819,0.047614966,April,External,596,8
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.046979867,0.052543607,April,External,596,28
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.033557046,-0.004928642,April,External,596,-20
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.005033557,0.02346462,December,External,596,3
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.021812081,0.02577894,December,External,596,13
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.016778523,-0.002314319,December,External,596,-10
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.010067114,0.0368791,February,External,596,6
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.043624163,0.040672008,February,External,596,26
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.033557046,-0.003792911,February,External,596,-20
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.008389262,0.031586166,January,External,596,5
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.035234898,0.034071915,January,External,596,21
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.026845638,-0.00248575,January,External,596,-16
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.013422819,0.041829169,March,External,596,8
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.043624163,0.047057815,March,External,596,26
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.030201342,-0.005228646,March,External,596,-18
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.013422819,0.052072171,May,External,596,8
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.050335571,0.056165088,May,External,596,30
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.03691275,-0.004092915,May,External,596,-22
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.005033557,0.01965028,November,External,596,3
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.015100671,0.019071702,November,External,596,9
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.010067114,0.00057858,November,External,596,-6
